wasp_id,role,n_feeds,path_len
0,unloader,6,148.27334672844677
1,unloader,9,129.85087122333204
2,unloader,17,167.62071252473308
3,unloader,16,157.56158070092954
4,unloader,13,120.02757426032655
5,unloader,0,182.8988374947254
6,unloader,25,162.64670521125862
7,unloader,17,160.46248393926138
8,unloader,15,151.1813821280962
9,unloader,11,154.8843552141899
10,unloader,9,155.2678393635206
11,unloader,12,160.91763876611313
12,forager,0,270.78640866364213
13,unloader,10,206.65675904365852
14,forager,0,248.45675703029434
15,unloader,14,207.09985516002504
16,unloader,3,147.92694390444098
17,unloader,6,129.99745538580473
18,unloader,1,103.96842417479772
19,unloader,8,150.00118186836434
20,unloader,12,198.95986463134145
21,unloader,7,184.74734825599563
22,forager,0,330.7757563817859
23,unloader,13,156.53103471210363
24,unloader,6,191.17282324910235
