cell_id,x,y,feeds
1,7.758,8.167,0
2,8.149,8.167,0
3,8.674,8.105,0
4,9.116,7.961,0
5,9.528,7.827,0
6,9.95,7.611,1
7,7.913,7.858,0
8,8.324,7.755,0
9,8.746,7.632,0
10,9.23,7.539,0
11,9.621,7.333,0
12,10.073,7.169,0
13,10.567,6.973,0
14,7.563,7.539,1
15,7.964,7.477,1
16,8.396,7.364,1
17,8.87,7.272,1
18,9.23,7.014,1
19,9.693,6.881,1
20,10.135,6.726,0
21,10.629,6.603,0
22,10.999,6.5,0
23,7.666,7.107,1
24,8.098,7.014,1
25,8.551,6.922,1
26,8.942,6.675,1
27,9.384,6.5,1
28,9.847,6.325,1
29,10.361,6.222,0
30,10.763,6.119,0
31,11.205,6.037,1
32,7.316,6.829,1
33,7.769,6.695,1
34,8.19,6.541,1
35,8.612,6.356,1
36,9.024,6.202,1
37,9.549,6.068,1
38,9.991,5.883,1
39,10.495,5.79,1
40,10.958,5.677,0
41,11.38,5.574,0
42,7.357,6.366,1
43,7.841,6.222,1
44,8.283,6.058,1
45,8.705,5.913,1
46,9.219,5.708,1
47,9.693,5.584,1
48,10.166,5.399,1
49,10.67,5.327,1
50,11.133,5.183,0
51,11.534,5.09,0
52,6.976,6.068,1
53,7.46,5.893,1
54,7.943,5.697,1
55,8.386,5.553,1
56,8.808,5.409,1
57,9.291,5.255,1
58,9.785,5.111,1
59,10.31,4.977,1
60,10.773,4.833,1
61,11.236,4.71,1
62,11.596,4.627,0
63,11.751,4.946,0
64,11.771,4.566,1
65,6.729,5.595,1
66,7.028,5.595,1
67,7.614,5.42,1
68,8.046,5.224,1
69,8.468,5.08,1
70,8.942,4.936,1
71,9.446,4.782,1
72,9.95,4.617,1
73,10.444,4.463,1
74,10.866,4.329,1
75,11.308,4.175,1
76,11.586,4.113,0
77,6.524,5.348,1
78,6.781,5.255,1
79,7.223,5.08,1
80,7.594,4.885,1
81,8.17,4.761,1
82,8.695,4.576,1
83,9.096,4.442,1
84,9.59,4.236,1
85,10.125,4.082,1
86,10.557,3.938,1
87,10.969,3.794,1
88,11.38,3.753,1
89,11.627,3.763,1
90,6.431,4.751,1
91,6.812,4.73,1
92,7.285,4.586,1
93,7.789,4.422,1
94,8.232,4.236,1
95,8.715,4.123,1
96,9.178,3.948,1
97,9.652,3.784,1
98,10.269,3.516,1
99,10.722,3.362,0
100,11.133,3.279,0
101,11.493,3.259,0
102,6.462,4.308,1
103,6.884,4.226,1
104,7.419,4.092,1
105,7.861,3.845,1
106,8.365,3.763,1
107,8.777,3.598,1
108,9.261,3.382,1
109,9.847,3.135,1
110,10.279,3.012,1
111,10.742,2.868,0
112,11.185,2.806,0
113,11.442,2.734,0
114,6.534,3.886,1
115,6.987,3.753,1
116,7.419,3.506,1
117,7.974,3.465,1
118,8.427,3.228,1
119,8.849,2.971,1
120,9.363,2.847,1
121,9.909,2.6,1
122,10.361,2.467,0
123,10.804,2.374,0
124,11.143,2.281,0
125,6.606,3.362,1
126,7.069,3.218,1
127,7.48,2.991,1
128,8.015,2.899,1
129,8.468,2.713,1
130,8.962,2.518,1
131,9.425,2.302,1
132,9.94,2.168,1
133,10.382,2.014,0
134,10.794,1.973,0
135,6.657,2.868,1
136,7.141,2.693,1
137,7.542,2.467,1
138,8.005,2.384,1
139,8.53,2.199,1
140,9.014,2.034,1
141,9.477,1.839,1
142,9.96,1.746,1
143,10.392,1.664,0
144,10.639,1.623,1
145,7.285,2.24,1
146,7.666,2.076,1
147,8.088,1.87,1
148,8.54,1.643,1
149,9.075,1.489,1
150,9.6,1.427,1
151,9.919,1.417,0
152,7.398,1.715,1
153,7.707,1.705,1
154,8.16,1.489,1
155,8.623,1.221,1
156,9.199,1.201,1
157,7.83,1.355,1
158,8.242,1.149,1
1,7.666,8.229,0
2,8.049,8.141,0
3,8.902,7.906,0
4,9.362,7.73,0
5,9.784,7.533,0
6,10.284,7.386,0
7,7.696,7.886,1
8,8.166,7.808,1
9,8.588,7.612,0
10,8.98,7.386,0
11,9.441,7.259,1
12,9.901,7.053,0
13,10.333,6.896,0
14,7.411,7.612,1
15,7.853,7.533,1
16,8.245,7.318,1
17,8.656,7.102,1
18,9.068,6.926,1
19,9.529,6.739,1
20,10.039,6.573,1
21,10.48,6.416,0
22,10.892,6.298,0
23,7.49,7.19,1
24,7.911,7.004,1
25,8.323,6.798,1
26,8.735,6.632,1
27,9.215,6.465,1
28,9.696,6.259,1
29,10.156,6.122,1
30,10.686,5.994,0
31,11.019,5.886,0
32,7.137,6.867,1
33,7.539,6.7,1
34,7.98,6.484,1
35,8.392,6.328,1
36,8.862,6.132,1
37,9.333,5.955,1
38,9.813,5.779,1
39,10.323,5.671,1
40,10.794,5.494,1
41,11.117,5.377,0
42,6.578,6.71,1
43,7.206,6.396,1
44,7.607,6.19,1
45,8.078,6.004,1
46,8.509,5.847,1
47,8.951,5.651,1
48,9.46,5.475,1
49,9.96,5.308,1
50,10.48,5.171,1
51,10.892,5.043,1
52,11.186,4.965,0
53,6.804,6.083,1
54,7.284,5.896,1
55,7.686,5.681,1
56,8.127,5.514,1
57,8.617,5.337,1
58,9.098,5.122,1
59,9.588,4.985,1
60,10.127,4.788,1
61,10.637,4.583,1
62,10.999,4.465,1
63,11.294,4.347,1
64,6.402,5.749,1
65,6.862,5.592,1
66,7.333,5.396,1
67,7.804,5.19,1
68,8.264,5.053,1
69,8.754,4.818,1
70,9.225,4.632,1
71,9.715,4.436,1
72,10.264,4.22,1
73,10.686,4.092,1
74,11.137,3.936,1
75,11.313,3.896,1
76,6.46,5.249,1
77,6.931,5.083,1
78,7.421,4.857,1
79,7.872,4.69,1
80,8.343,4.514,1
81,8.853,4.249,1
82,9.303,4.102,1
83,9.862,3.847,1
84,10.343,3.681,1
85,10.764,3.563,1
86,11.137,3.445,0
87,11.323,3.396,0
88,6.029,4.887,1
89,6.47,4.739,1
90,7.0,4.534,1
91,7.441,4.357,1
92,7.931,4.161,1
93,8.382,3.936,1
94,8.892,3.74,1
95,9.402,3.514,1
96,9.921,3.279,1
97,10.431,3.132,1
98,10.794,3.043,0
99,11.156,2.936,0
100,6.196,4.347,1
101,6.598,4.279,1
102,7.039,4.073,1
103,7.529,3.847,1
104,7.98,3.651,1
105,8.47,3.416,1
106,8.931,3.191,1
107,9.48,2.926,1
108,10.0,2.72,1
109,10.45,2.671,0
110,10.774,2.622,0
111,10.999,2.602,1
112,6.245,3.789,1
113,6.666,3.798,1
114,7.108,3.563,1
115,7.549,3.318,1
116,8.029,3.083,1
117,8.5,2.857,1
118,8.97,2.661,1
119,9.519,2.445,1
120,9.97,2.279,1
121,10.313,2.083,1
122,6.647,3.191,1
123,7.108,3.034,1
124,7.598,2.867,1
125,8.068,2.622,1
126,8.539,2.318,1
127,9.058,2.122,1
128,9.529,2.014,1
129,9.921,1.896,0
130,6.353,2.818,1
131,6.735,2.759,1
132,7.206,2.612,1
133,7.647,2.396,1
134,8.098,2.024,1
135,8.627,1.808,1
136,9.088,1.691,1
137,9.402,1.671,0
138,6.902,2.445,1
139,7.264,2.181,1
140,7.666,1.945,1
141,8.215,1.681,1
142,8.882,1.602,1
143,9.451,1.573,0
144,9.549,1.495,0
1,4.594,6.865,1
2,5.043,7.071,1
3,5.554,7.25,1
4,5.976,7.295,1
5,6.371,7.403,1
6,4.415,6.569,0
7,4.872,6.658,1
8,5.33,6.775,1
9,5.796,6.874,1
10,6.218,6.972,1
11,6.667,7.062,1
12,4.72,6.228,1
13,5.15,6.29,1
14,5.644,6.407,1
15,6.119,6.497,1
16,6.532,6.578,1
17,6.945,6.712,0
18,7.313,6.892,0
19,4.522,5.788,1
20,4.998,5.851,1
21,5.455,5.914,1
22,5.958,5.931,1
23,6.415,6.102,1
24,6.882,6.246,1
25,7.241,6.38,1
26,7.645,6.533,1
27,7.923,6.667,1
28,4.809,5.339,1
29,5.222,5.375,1
30,5.778,5.285,1
31,6.317,5.375,1
32,6.774,5.671,1
33,7.205,5.788,1
34,7.618,5.967,1
35,8.031,6.147,1
36,8.712,6.237,1
37,4.666,4.989,1
38,5.159,4.962,1
39,5.599,4.98,1
40,6.083,4.962,1
41,6.649,5.151,1
42,7.061,5.303,1
43,7.6,5.285,1
44,7.914,5.671,1
45,8.264,5.797,1
46,8.748,5.869,1
47,4.63,4.666,1
48,4.953,4.63,1
49,5.357,4.55,1
50,5.904,4.559,1
51,6.433,4.702,1
52,6.99,4.783,1
53,7.367,4.944,1
54,7.788,5.124,1
55,8.237,5.259,1
56,8.578,5.51,1
57,8.937,5.644,1
58,4.989,4.298,1
59,5.321,4.128,1
60,5.823,4.137,1
61,6.281,4.227,1
62,6.801,4.361,1
63,7.25,4.487,1
64,7.618,4.693,1
65,8.04,4.9,1
66,8.479,4.989,1
67,8.829,5.214,1
68,9.269,5.268,1
69,5.168,3.966,1
70,5.626,3.724,1
71,6.128,3.706,1
72,6.604,3.832,1
73,7.097,4.011,1
74,7.51,4.254,1
75,7.968,4.451,1
76,8.354,4.568,1
77,8.775,4.747,1
78,9.098,4.837,1
79,9.394,4.962,1
80,5.68,3.329,1
81,5.985,3.32,1
82,6.415,3.276,1
83,6.936,3.518,1
84,7.429,3.733,1
85,7.833,4.002,1
86,8.246,4.128,1
87,8.811,4.191,1
88,9.027,4.442,1
89,9.35,4.559,1
90,5.994,2.979,1
91,6.263,2.97,1
92,6.756,2.997,1
93,7.268,3.159,1
94,7.752,3.473,1
95,8.129,3.697,1
96,8.533,3.814,1
97,9.044,3.841,1
98,9.35,4.029,1
99,6.218,2.773,1
100,6.55,2.737,1
101,7.214,2.674,1
102,7.716,2.917,1
103,8.022,3.141,1
104,8.443,3.32,1
105,8.847,3.482,1
106,9.206,3.572,1
107,7.591,2.612,1
108,7.986,2.737,1
109,8.372,2.89,1
110,8.766,2.979,1
111,7.932,2.495,1
112,8.3,2.576,1
113,4.244,6.102,1
114,4.504,5.33,1
