scenario,nest_size,total_agents,total_feeds,avg_feeds_per_larva,gini_coefficient,unfed_larvae,multi_fed_larvae,center_avg_feeds,periphery_avg_feeds,hungry_ignored_events,redundant_feed_events,total_bouts,avg_bout_duration,avg_larvae_per_bout,total_transfers,model_time
baseline,20,18,790,39.5,0.5331645569620254,0,20,23.1875,104.75,0,0,37,97.29729729729729,4.324324324324325,2020,400
baseline,30,27,1875,62.5,0.5057244444444444,0,30,55.958333333333336,88.66666666666667,0,0,55,115.2909090909091,7.2,4168,400
baseline,50,45,2195,43.9,0.5585512528473804,0,50,35.525,77.4,0,0,56,135.94642857142858,8.535714285714286,7206,400
baseline,80,72,3282,41.025,0.5486441194393663,0,80,33.03125,73.0,0,0,60,142.25,12.316666666666666,11812,400
low_forager,20,18,790,39.5,0.5331645569620254,0,20,23.1875,104.75,0,0,37,97.29729729729729,4.324324324324325,2020,400
low_forager,30,27,1192,39.733333333333334,0.48562639821029063,0,30,32.958333333333336,66.83333333333333,0,0,43,115.46511627906976,5.883720930232558,4456,400
low_forager,50,45,1232,24.64,0.49159090909090897,0,50,19.375,45.7,0,0,41,120.17073170731707,7.219512195121951,5868,400
low_forager,80,72,2065,25.8125,0.546047215496368,0,80,19.546875,50.875,0,0,54,124.46296296296296,8.481481481481481,14206,400
high_forager,20,18,1145,57.25,0.49349344978165943,0,20,36.6875,139.5,0,0,40,114.575,5.975,1770,400
high_forager,30,27,2136,71.2,0.5135143570536829,0,30,61.458333333333336,110.16666666666667,0,0,49,134.55102040816325,7.673469387755102,4136,400
high_forager,50,45,2617,52.34,0.5703095147115016,0,50,39.125,105.2,0,0,42,120.66666666666667,9.119047619047619,6730,400
high_forager,80,72,4004,50.05,0.5501498501498503,0,80,41.8125,83.0,0,0,51,133.27450980392157,14.764705882352942,9842,400
low_ratio,20,14,804,40.2,0.4588308457711443,0,20,27.3125,91.75,0,0,36,109.13888888888889,4.805555555555555,1588,400
low_ratio,30,21,929,30.966666666666665,0.45292429135270895,0,30,28.708333333333332,40.0,0,0,52,108.01923076923077,5.6923076923076925,2152,400
low_ratio,50,35,1456,29.12,0.5492032967032967,0,50,22.2,56.8,0,0,52,121.78846153846153,7.5,4572,400
low_ratio,80,56,2362,29.525,0.5294665537679932,0,80,24.25,50.625,0,0,56,133.32142857142858,10.392857142857142,9076,400
high_ratio,20,19,1061,53.05,0.5355796418473138,0,20,32.75,134.25,0,0,39,120.66666666666667,5.461538461538462,2452,400
high_ratio,30,28,1897,63.233333333333334,0.4800738007380072,0,30,55.166666666666664,95.5,0,0,45,117.66666666666667,6.933333333333334,4394,400
high_ratio,50,48,2665,53.3,0.5740863039399624,0,50,38.375,113.0,0,0,55,142.92727272727274,8.363636363636363,8406,400
high_ratio,80,76,3441,43.0125,0.5775828247602441,0,80,34.28125,77.9375,0,0,45,131.2888888888889,11.933333333333334,12170,400
